Column1,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
90,SNAI2,14,0.031972059,0.021978022,0.290505482,0.079706728
350,ESR1,9,0.023518139,0.083333333,0.299173591,0.077800701
94,SMAD4,10,0.016695959,0.022222222,0.288120379,0.077664219
119,RELA,8,0.011207956,0.107142857,0.285077678,0.075724918
361,E2F1,6,0.02148388,0.133333333,0.296143985,0.072520062
404,ATF3,6,0.012055082,0.066666667,0.287412467,0.068915711
329,FOXD3,7,0.008889598,0.285714286,0.267477608,0.066836724
287,HIF1A,6,0.006240489,0.133333333,0.278516367,0.066383483
349,ESR2,5,0.006571963,0.2,0.278516367,0.066291603
258,IRF8,11,0.011130257,0.109090909,0.276541073,0.066127451
132,PPARA,12,0.017687917,0.121212121,0.273523478,0.066007661
210,MYOD1,9,0.013636927,0.055555556,0.280296024,0.064628725
252,JUNB,5,0.002168736,0.1,0.274378907,0.062710442
283,HMGA2,7,0.010768886,0.095238095,0.276323324,0.062651733
156,PAX3,8,0.013659592,0.107142857,0.280744498,0.062373023
107,SALL1,4,0.000426548,0.5,0.257658313,0.061083952
386,CEBPD,4,0.001557087,0.5,0.272461663,0.060785003
80,SOX9,12,0.030800852,0.045454545,0.288120379,0.06039968
268,IKZF1,6,0.007129804,0.2,0.276323324,0.060050793
381,CREB1,11,0.024962142,0.018181818,0.288357126,0.059891336
110,RUNX2,12,0.026462398,0.060606061,0.278737587,0.059253308
169,NR3C1,11,0.014640359,0.018181818,0.270779801,0.059235459
357,EGR1,13,0.036762077,0.025641026,0.277854808,0.059227993
178,NME2,3,0.000804438,0.333333333,0.275239704,0.058722913
8,ZIC3,3,0,1,0.256153739,0.057198576
284,HMGA1,2,0,1,0.272673366,0.056724235
63,STAT5A,7,0.011883111,0.142857143,0.279181084,0.056702034
203,NCOA3,6,0.007450225,0,0.27567213,0.056522636
198,NFATC1,11,0.013772266,0,0.269531968,0.056481648
388,CEBPA,9,0.009035101,0.138888889,0.267885971,0.056293924
234,MAF,6,0.018312641,0.2,0.272250289,0.053101669
246,KLF2,6,0.007757755,0.066666667,0.280296024,0.05093276
95,SMAD3,9,0.011970336,0.055555556,0.276977602,0.050444338
241,LEF1,4,0.006117791,0.166666667,0.27567213,0.048753615
108,RXRA,7,0.007087389,0.142857143,0.269946632,0.048465073
257,IRF9,9,0.022032884,0.138888889,0.274593601,0.04798423
113,RORA,7,0.010996277,0.19047619,0.265454328,0.047671887
205,NCOA1,6,0.003634348,0.2,0.269118575,0.04754708
81,SOX4,3,0.004383096,0.333333333,0.26169323,0.047484607
359,EBF1,12,0.013763135,0.151515152,0.253196697,0.047310361
190,NFKB1,4,0.001790516,0,0.269118575,0.045779641
41,TET1,5,0.003386241,0.1,0.25956407,0.04568594
165,NR5A2,3,0.001394069,0.333333333,0.260914961,0.043735699
182,NKX3-1,10,0.018581554,0.066666667,0.268912354,0.043661461
351,EPAS1,4,0.00488049,0.166666667,0.258037222,0.043267571
194,NFE2L2,3,0.001393932,0,0.27140806,0.043113872
101,SIX1,5,0.002429673,0.1,0.265454328,0.042951211
267,IKZF3,2,0,1,0.26169323,0.041604616
170,NR2F2,6,0.004843728,0.066666667,0.267885971,0.041543145
251,JUND,2,0,1,0.261888524,0.040079762
74,SPDEF,3,0.001325138,0,0.269946632,0.039543471
276,HOXA5,2,9.00E-05,0,0.259756197,0.039302804
76,SP7,12,0.026384643,0.060606061,0.272885398,0.038518791
406,ASH1L,2,0,1,0.264254986,0.037046486
310,GATA3,10,0.015853444,0.022222222,0.272039242,0.036865441
229,MEF2A,5,0.001937828,0,0.25956407,0.036578512
37,TFAP4,2,0.000462931,0,0.261303516,0.036075711
44,TCF7L1,2,0.001705906,0,0.270362575,0.035968679
185,NKX2-1,3,0.009187487,0,0.25860768,0.035879754
121,RBPJ,7,0.021091165,0.047619048,0.267273893,0.034705096
282,HNF1A,7,0.019555963,0,0.265253683,0.034076041
112,RORC,2,0.001821931,0,0.258798394,0.033807462
397,BATF,1,0,0,0.255222271,0.033152365
103,SETDB1,1,0,0,0.255222271,0.033152365
137,POU2F1,1,0,0,0.255222271,0.033152365
285,HLX,1,0,0,0.255222271,0.033152365
171,NR2F1,3,0.00984146,0,0.264056149,0.033101366
120,REL,5,0.005072233,0,0.252286572,0.032848135
62,STAT5B,5,0.002581343,0.3,0.253929538,0.032666168
196,NFATC3,2,0.000304384,0,0.260721116,0.032579826
70,SREBF1,4,0.002122572,0,0.253562588,0.032109785
227,MEF2C,8,0.008931336,0.035714286,0.254481959,0.0316652
43,TCF7L2,2,0.000143232,0,0.258417247,0.031228486
105,SATB1,3,0.008768207,0,0.265856532,0.031097387
104,SATB2,3,0.001126556,0.333333333,0.257280515,0.030563294
24,WT1,4,0.005879182,0,0.256528232,0.030075679
376,CTCF,3,0.003144109,0,0.260527559,0.029635113
168,NR4A2,4,0.003985088,0,0.26365937,0.029333739
199,NEUROG3,12,0.037281671,0.075757576,0.2648533,0.028778744
202,NEUROD1,5,0.010800671,0.2,0.262476157,0.028412811
247,KLF17,2,0.000484657,0,0.26286938,0.028135077
128,PRDM16,2,0.004383096,0,0.255780337,0.02769713
369,DLX4,1,0,0,0.255408022,0.027470483
337,FOSB,1,0,0,0.255408022,0.027470483
301,GLI2,5,0.01074249,0.1,0.258037222,0.02712237
308,GATA6,4,0.001925769,0.166666667,0.24252289,0.026877673
226,MEF2D,5,0.00129505,0,0.243026747,0.026485395
61,STAT6,5,0.003004962,0,0.257658313,0.026222329
66,STAT2,6,0.003736659,0.333333333,0.249063607,0.02564762
311,GATA2,4,0.001987979,0,0.25337951,0.025420595
99,SIX3,2,0.002559003,0,0.258417247,0.025104699
417,AHR,7,0.01104193,0,0.255222271,0.025072425
149,PBX1,3,0.005101182,0,0.25066473,0.025063333
21,YY1,3,0.008463846,0,0.256903823,0.024505889
294,HES5,4,0.002619934,0.166666667,0.249772685,0.024135016
366,DMTF1,1,0,0,0.252468073,0.02357187
360,E2F7,1,0,0,0.252468073,0.02357187
160,OSR1,1,0,0,0.252468073,0.02357187
172,NR1I2,1,0,0,0.252468073,0.02357187
5,ZNF385A,1,0,0,0.252468073,0.02357187
411,ARID3A,1,0,0,0.252468073,0.02357187
26,USF1,1,0,0,0.252468073,0.02357187
20,YY2,1,0,0,0.252468073,0.02357187
18,ZBTB33,1,0,0,0.252468073,0.02357187
141,PLAGL1,1,0,0,0.252468073,0.02357187
288,HIC1,1,0,0,0.252468073,0.02357187
17,ZBTB49,1,0,0,0.252468073,0.02357187
326,FOXF1,1,0,0,0.252468073,0.02357187
347,ESRRB,3,0.001482463,0.333333333,0.242355402,0.023181401
82,SOX3,4,0.008205344,0,0.25671589,0.023151018
177,NPAS2,9,0.005346685,0.111111111,0.225678857,0.022840316
214,MYBL2,2,0.000111221,0,0.24019892,0.022530571
405,ATF2,4,0.001072154,0,0.237275606,0.021799433
36,TFCP2L1,1,0,0,0.241854323,0.021718807
11,ZFP57,1,0,0,0.241854323,0.021718807
189,NFKB2,3,0.000301014,0.333333333,0.245749735,0.021690386
334,FOXA1,3,0.000190716,0.333333333,0.239379688,0.02168191
72,SPI1,7,0.010923441,0,0.25337951,0.02159834
408,ASCL1,8,0.010536371,0.107142857,0.252105332,0.02133307
215,MYB,9,0.016569546,0.027777778,0.25066473,0.020721535
176,NR0B1,3,0.013103393,0,0.235999073,0.020078802
209,MYOG,5,0.000625823,0.2,0.239543087,0.019999689
40,TET2,2,0.004383096,0,0.235365944,0.019911774
309,GATA4,7,0.007103341,0,0.249417642,0.019745173
223,MITF,7,0.013688918,0.095238095,0.248710575,0.019679014
345,ETS1,4,0.004524766,0,0.231331986,0.019328656
312,GATA1,5,0.011748831,0,0.251924352,0.018758462
204,NCOA2,4,0.000844075,0.166666667,0.234893321,0.018488024
173,NR1H4,3,0.001824868,0,0.246267103,0.01800638
109,RUNX3,5,0.00810225,0,0.248886966,0.017963952
219,MSX1,5,0.009406475,0,0.248886966,0.017698292
265,IRF1,4,0.003350217,0,0.244210593,0.017604114
409,ARNTL,7,0.005704834,0.047619048,0.232712614,0.017591946
174,NR1H3,4,0.000106017,0.333333333,0.221128306,0.017561009
153,PAX6,8,0.022687731,0,0.243871176,0.016944783
403,ATF4,6,0.019094919,0,0.248182901,0.016927087
266,INSM1,6,0.007662809,0.266666667,0.240034625,0.016560146
211,MYF5,4,0.002197786,0.166666667,0.237436145,0.0165566
344,ETV1,2,0.002475268,0,0.249063607,0.016473284
93,SMAD5,6,0.001823257,0.066666667,0.237919066,0.016386785
157,PAX2,2,0.000369783,0,0.233176493,0.016320176
352,EOMES,6,0.012601148,0,0.248358544,0.016016456
371,DLX2,3,0.005238817,0,0.245406029,0.016002427
53,TBX21,5,0.003004855,0,0.244210593,0.015855788
248,KLF10,3,0.001875161,0,0.242355402,0.015787291
316,FOXO4,1,0,0,0.242021119,0.015735395
331,FOXC1,2,0.002731827,0,0.246440044,0.015673941
56,TBX1,3,0.007726387,0,0.245234537,0.015449274
13,ZEB2,4,0.007635768,0,0.239379688,0.015351436
275,HOXA7,2,0.004383096,0,0.241355311,0.015063722
29,TP63,2,0.004383096,0,0.241355311,0.015063722
87,SOX11,2,0.000141844,0,0.229666637,0.01483936
154,PAX5,7,0.006248986,0.142857143,0.226553016,0.014646848
348,ESRRA,4,0.000547424,0,0.227729151,0.014540286
111,RUNX1,5,0.005880811,0.1,0.24036344,0.014507955
55,TBX18,2,0.000123366,0,0.234109821,0.014235813
151,PAX8,2,0.004383096,0,0.235050651,0.014040234
272,HOXB13,2,0.000474658,0,0.24269061,0.013770471
4,ZNF423,2,0,1,0.227877027,0.013688964
34,TFEB,1,0,0,0.232250577,0.013599523
48,TCF20,1,0,0,0.232250577,0.013599523
147,PDX1,6,0.011583804,0.066666667,0.237275606,0.013009076
163,ONECUT1,6,0.0164241,0.066666667,0.241023779,0.012845359
380,CREB3,1,0,0,0.226260878,0.012609279
323,FOXK2,1,0,0,0.226260878,0.012609279
324,FOXK1,1,0,0,0.226260878,0.012609279
382,CLOCK,6,0.002247603,0.066666667,0.222389494,0.012482603
183,NKX2-5,5,0.003567425,0,0.227877027,0.012197223
23,XBP1,3,0.008460716,0,0.23695518,0.012005118
335,FOSL2,2,0.004383096,0,0.227581467,0.011598507
416,AIRE,1,0,0,0.227286672,0.011503596
395,BCL11B,1,0,0,0.227286672,0.011503596
68,SRF,1,0,0,0.227286672,0.011503596
389,CDX2,4,0.006094397,0,0.23194357,0.011067916
399,BACH2,3,0.001272428,0,0.229666637,0.011064759
69,SREBF2,2,0.000371567,0,0.229967642,0.011038119
22,YBX1,1,0,0,0.223238309,0.010980513
54,TBX20,1,0,0,0.223238309,0.010980513
71,SPZ1,1,0,0,0.223238309,0.010980513
167,NR4A3,2,0,1,0.230118441,0.010888396
124,RAG1,2,0.000784456,0,0.236795292,0.010879495
368,DLX5,3,0.000866006,0.333333333,0.228768332,0.01029207
278,HOXA1,4,0.00473816,0,0.215824491,0.010148024
374,CXXC5,2,0.000164436,0,0.226553016,0.009758523
